epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.939314171836825,6.931411418384841,0.22941626306398163,0.637267397399949
1,6.938684635936554,6.930389758247883,0.05098139179199592,0.6372673942396722
2,6.936349428887737,6.871107896736256,0.22941626306398163,1.2490440957436233
3,6.874540800538011,6.802646871066476,0.5353046090755419,1.6568952237590369
4,6.84174452320676,6.721018753640055,0.4333418302319653,1.9627835776712892
5,6.815761291672823,6.6343339446731715,0.33137904664797346,2.16670914799955
6,6.772259976151244,6.556048129609493,0.611776701503951,2.752995147286949
7,6.746118652864576,6.458094843485937,0.8921743547797902,3.364771851951177
8,6.711042281006535,6.437385920812182,1.0196278326796415,3.3392811582430633
9,6.689111853877557,6.361991910037416,1.147081310579493,4.33341830134726
10,6.674692387950376,6.338464542946097,1.1980627039516274,4.945194999690934
11,6.648102503421122,6.2215288798176385,1.3255161850117556,5.404027528979174
12,6.641505971605928,6.21202474913061,1.5294417490194623,5.862860048786584
13,6.613355441286995,6.132429575452141,1.6568952284994523,6.32169256640611
14,6.584269122443955,6.142989091170615,1.580423136071043,6.5001274376780955
15,6.55830454562423,6.059370314865248,1.8353300981912994,7.060922747390051
